time,altitude,speed,mass
15.5,90.98,0.0,208107437.5
15.6,90.98,0.0,208107437.5
15.7,90.98,0.0,208107437.5
15.8,90.98,0.0,208107437.5
15.9,90.98,0.0,208107437.5
16.0,90.98,0.0,208107437.5
16.1,90.98,0.0,208107437.5
16.2,90.98,0.0,208107437.5
16.3,90.98,0.0,208107437.5
16.4,90.98,0.0,208107437.5
16.5,90.98,0.0,208107437.5
16.6,90.98,0.0,208107437.5
16.7,90.98,0.0,208107437.5
16.8,90.98,0.0,208107437.5
16.92,90.98,0.0,208107437.5
17.0,90.98,0.0,208107437.5
17.1,90.98,0.0,208107437.5
17.22,90.98,0.0,208107437.5
17.3,90.98,0.0,208107437.5
17.42,90.98,0.0,208107437.5
17.52,90.98,0.0,208107437.5
17.62,90.98,0.0,208107437.5
17.72,90.98,0.0,208107437.5
17.82,90.98,0.0,208107437.5
17.9,90.98,0.0,208107437.5
18.02,90.98,0.0,208107437.5
18.1,90.98,0.0,208107437.5
18.22,90.98,0.0,208107437.5
18.32,90.98,0.0,208107437.5
18.42,90.98,0.0,208107437.5
18.52,90.98,0.0,208107437.5
18.62,90.98,0.0,208107437.5
18.72,90.98,0.0,208107437.5
18.82,90.98,0.0,208107437.5
18.92,90.98,0.0,208107437.5
19.02,90.98,0.0,208107437.5
19.12,90.98,0.0,208107437.5
19.22,90.98,0.0,208107437.5
19.32,90.98,0.0,208107437.5
19.42,90.98,0.0,208107437.5
19.52,90.98,0.0,208107437.5
19.62,90.98,0.0,208107437.5
19.72,90.98,0.0,208107437.5
19.82,90.98,0.0,208107437.5
19.92,90.98,0.0,208107437.5
20.02,90.98,0.0,208107437.5
20.12,90.98,0.0,208107437.5
20.22,90.98,0.0,208107437.5
20.32,90.98,0.0,208107437.5
20.42,90.98,0.0,208107437.5
20.52,90.98,0.0,208107437.5
20.62,90.98,0.0,208107437.5
20.72,90.98,0.0,208107437.5
20.82,90.98,0.0,208107437.5
20.92,90.98,0.0,208107437.5
21.02,90.98,0.0,208107437.5
21.12,90.98,0.0,208107437.5
21.22,90.98,0.0,208107437.5
21.32,90.98,0.0,208107437.5
21.42,90.98,0.0,208107437.5
21.52,90.98,0.0,208107437.5
21.62,90.98,0.0,208107437.5
21.72,90.98,0.0,208107437.5
21.82,90.98,0.0,208107437.5
21.92,90.98,0.0,208107437.5
22.02,90.98,0.0,208107437.5
22.12,90.98,0.0,208107437.5
22.22,90.98,0.0,208107437.5
22.32,90.98,0.0,208107437.5
22.42,90.98,0.0,208107437.5
22.52,90.98,0.0,208107437.5
22.64,90.98,0.0,208107437.5
22.72,90.98,0.0,208107437.5
22.84,90.98,0.0,208107437.5
22.92,90.98,0.0,208107437.5
23.04,90.98,0.0,208107437.5
